曲名,難易度,STDORDX,スコア
Imperishable Night 2006 (2016 Refine),MAS,STD,990374
Overjoy ★ OVERDOSE!!,MAS,DX,974285
Synthesis.,MAS,DX,962192
Chronomia,MAS,DX,952018
New York Back Raise,MAS,DX,984264
INFiNiTE ENERZY -Overdoze-,MAS,DX,990371
神威,MAS,DX,925370
ozma,MAS,DX,957323
月面基地,MAS,DX,971144
"Good Bye, Mr. Jack",MAS,STD,975223
麒麟,MAS,STD,964047
Jack-the-Ripper◆,MAS,STD,987960
VOLT,MAS,DX,974021
tiny tales continue,MAS,DX,920552
OMAKENO Stroke,MAS,DX,976433
Got more raves？,MAS,STD,968375
Scarlet Lance,MAS,STD,942146
Love Kills U,MAS,DX,930183
DANGEROOOOUS JUNGLE,MAS,DX,963005
Let you DIVE!,MAS,DX,1001756
Lights of Muse,MAS,DX,966788
tape/stop/night,MAS,DX,981041
The 90's Decision,MAS,DX,995326
僕の和風本当上手,MAS,DX,984683
Cthugha,MAS,DX,949345
Empire of Winter,MAS,DX,995905
迷える音色は恋の唄,MAS,DX,1002045
Löschen,MAS,DX,947604
Abstruse Dilemma,MAS,DX,938831
Lost Desire,MAS,DX,951998
Alice's Suitcase,MAS,DX,957501
Aegleseeker,MAS,DX,920485
Ether Strike,MAS,DX,984701
Entrance,MAS,DX,947814
Ignis Danse,MAS,STD,902338
ULTRA SYNERGY MATRIX,MAS,DX,974154
ENERGY SYNERGY MATRIX,MAS,DX,977784
ENERGY SYNERGY MATRIX,MAS,STD,961573
PUPA,MAS,DX,897535
プナイプナイせんそう,MAS,DX,945909
Strange Bar,MAS,DX,895441
Make Up Your World feat. キョンシーのCiちゃん & らっぷびと,MAS,DX,999601
ヒミツCULT,MAS,DX,987003
FREEDOM DiVE (tpz Overcute Remix),MAS,STD,950425
Knight Rider,MAS,DX,993374
BULK UP (GAME EXCLUSIVE EDIT),MAS,DX,952621
Trust,MAS,DX,980821
Everybody Say HARDCORE TANO*C,MAS,DX,962762
Mjölnir,MAS,DX,914651
Halcyon,MAS,STD,927540
Altale,MAS,STD,996063
Destr0yer,MAS,DX,979295
Destr0yer,MAS,STD,932270
お願い！コンコンお稲荷さま,MAS,DX,996787
いっぱい食べる君が好きだよ,MAS,DX,1000554
ピポピポ -People People- feat. ななひら,MAS,DX,981294
コンティニュー！ feat. 藍月なくる,MAS,DX,1002792
Sunday Night feat Kanata.N,MAS,DX,1007183
Luminaria,MAS,DX,990271
BANG!,MAS,DX,1002591
Estahv,MAS,DX,975151
Love's Theme of BADASS ～バッド・アス 愛のテーマ～,MAS,DX,959061
BLUE ZONE,MAS,DX,925934
enchanted love,MAS,DX,993605
Caterpillar Song,MAS,DX,993379
Southern Cross,MAS,DX,993152
ヒステリックナイトガール,MAS,DX,991645
NULCTRL,MAS,DX,990166
Re：End of a Dream,MAS,DX,908316
もぺもぺ,MAS,DX,948722
Arty Party,MAS,DX,982971
c.s.q.n.,MAS,DX,970847
emomomo,MAS,DX,983539
アトロポスと最果の探究者,MAS,DX,1000345
サンバランド,MAS,STD,959681
人里に下ったアタイがいつの間にか社畜になっていた件,MAS,STD,936130
Maxi,MAS,DX,962572
Maxi,MAS,STD,963353
conflict,MAS,DX,987604
EVERGREEN,MAS,STD,989980
Sakura Fubuki,MAS,STD,982372
METATRON,MAS,STD,932711
DRAGONLADY,MAS,STD,919255
若い力,MAS,DX,988199
Garden Of The Dragon,MAS,STD,987744
キズナの物語,MAS,STD,995172
STAIRWAY TO GENERATION,MAS,STD,1001491
Last Brave ～ Go to zero,MAS,STD,981917
awake,MAS,STD,984537
Like the Wind [Reborn],MAS,STD,959532
YA･DA･YO [Reborn],MAS,STD,997014
JACKY [Remix],MAS,STD,992724
コトバ・カラフル,MAS,STD,992906
Burning Hearts ～炎のANGEL～,MAS,STD,1006476
かせげ！ジャリンコヒーロー,MAS,STD,961748
ココロスキャンのうた,MAS,STD,989710
セガサターン起動音[H.][Remix],MAS,STD,976119
レッツゴー!陰陽師,MAS,STD,991969
電車で電車でOPA!OPA!OPA! -GMT mashup-,MAS,STD,988767
Urban Crusher [Remix],MAS,STD,995946
Mysterious Destiny,MAS,STD,1005550
怪盗Rのテーマ,MAS,STD,997798
Crush On You,MAS,STD,1005823
Sun Dance,MAS,STD,1009545
In Chaos,MAS,STD,1006018
ばかみたい【Taxi Driver Edition】,MAS,DX,1002309
Outlaw's Lullaby,MAS,STD,939637
鼓動,MAS,STD,990321
Reach For The Stars,MAS,STD,964278
Back 2 Back,MAS,STD,1000482
地獄,MAS,DX,989992
シスターシスター,MAS,DX,999581
Mystic Parade,MAS,DX,999299
ヱデン,MAS,DX,1005061
ヤミツキ,MAS,DX,978015
天国と地獄 -言ノ葉リンネ-,MAS,STD,986244
洗脳,MAS,STD,974534
言ノ葉遊戯,MAS,STD,985132
言ノ葉カルマ,MAS,STD,984325
Fraq,MAS,DX,1000293
ウタヒメナイトストーム,MAS,DX,995126
Feel The Luv,MAS,DX,985121
概して過誤,MAS,DX,996070
パラドクスイヴ,MAS,DX,978921
YKWTD,MAS,DX,985176
エスオーエス,MAS,DX,1005181
のじゃロリック,MAS,DX,995509
チエルカ／エソテリカ,MAS,DX,937899
星空パーティーチューン,MAS,DX,996923
NOIZY BOUNCE,MAS,DX,998533
フェイクフェイス・フェイルセイフ,MAS,DX,984302
シックスプラン,MAS,DX,1002293
フタタビ,MAS,DX,1004976
ふらふらふら、,MAS,DX,1001196
隠密あんみつDX,MAS,DX,996538
トノサマビーム,MAS,DX,950943
ピリオドサイン,MAS,DX,970024
RIFFRAIN,MAS,DX,1003161
プリズム△▽リズム,MAS,DX,1001593
Ourania,MAS,DX,999870
